accuracy,loss,val_accuracy,val_loss
0.753334105014801,0.49198997020721436,0.6614225506782532,0.6530689597129822
0.7636387944221497,0.47664183378219604,0.7010231614112854,0.6061100959777832
0.7713779211044312,0.46608787775039673,0.7062004804611206,0.5911896228790283
0.7782734036445618,0.4557432532310486,0.6909458041191101,0.6046730279922485
0.7847529053688049,0.4466589391231537,0.7269253134727478,0.5500885248184204
0.7890519499778748,0.43950197100639343,0.7198989391326904,0.5708216428756714
0.7923109531402588,0.4320525825023651,0.7437363266944885,0.5166882872581482
0.796359658241272,0.42516273260116577,0.7411476373672485,0.5087066888809204
0.7989213466644287,0.4190266728401184,0.7507781386375427,0.49649563431739807
0.8013983368873596,0.4143913984298706,0.7411168217658997,0.4923803210258484
0.8028776049613953,0.4106543958187103,0.7458473443984985,0.4833718538284302
0.8047420978546143,0.4060686528682709,0.7297143340110779,0.50215083360672
0.8069879412651062,0.4016222655773163,0.7344139814376831,0.49338218569755554
0.8095458149909973,0.3980564475059509,0.7557551860809326,0.45461761951446533
0.810316264629364,0.3944312632083893,0.7573114633560181,0.4404061436653137
0.8123964667320251,0.39108529686927795,0.7509938478469849,0.45594608783721924
0.8134250044822693,0.38811853528022766,0.7469567656517029,0.46688809990882874
0.8152971863746643,0.38493216037750244,0.7676353454589844,0.42011773586273193
0.8162679672241211,0.3831685483455658,0.7700391411781311,0.4201180934906006
0.8174505829811096,0.3803531229496002,0.7683441638946533,0.4088536202907562
0.8189953565597534,0.37837716937065125,0.77524733543396,0.4089960753917694
0.818895161151886,0.3764267563819885,0.7715029716491699,0.4130036532878876
0.819707989692688,0.3749561607837677,0.766772449016571,0.4187091290950775
0.8209099173545837,0.3732410967350006,0.7672039270401001,0.41166678071022034
0.821429967880249,0.37141960859298706,0.7557705640792847,0.4219861924648285
0.8221349120140076,0.3702624440193176,0.7888532876968384,0.3765849471092224
0.8227050304412842,0.3689742386341095,0.7808561325073242,0.3877812922000885
0.8235486745834351,0.3679041862487793,0.7809485793113708,0.3852151930332184
0.8243229985237122,0.3664683699607849,0.7768652439117432,0.38969388604164124
0.8247736692428589,0.36515316367149353,0.7730900645256042,0.3861542046070099
0.8248353004455566,0.3646261692047119,0.7746617794036865,0.3846091330051422
0.8263838887214661,0.36367225646972656,0.7799161672592163,0.3806775212287903
0.8267113566398621,0.3626208007335663,0.77333664894104,0.3916340470314026
0.8269925713539124,0.36133840680122375,0.773151695728302,0.3895248472690582
0.8265495300292969,0.36099347472190857,0.7747080326080322,0.38498803973197937
0.8277437686920166,0.3599375784397125,0.778822124004364,0.37702998518943787
